c	Mes	Año	Departamento	Municipio	Lugar de Ocurrencia	Tipo de Hecho	Tipo de Bien	Tipo de Implicado (1)	Tipo de Implicado	Víctimas Fatales	Lesionados	Fuente																	
29	5	1988				Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 48																	
1	6	1988	Arauca	Arauquita	Vereda Guamalito	Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 68																	
1	6	1988	Cesar	La Gloria	Corregimiento Ayacucho	Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 68																	
2	6	1988	Guaviare	San José del Guaviare	Caño Arara	Asesinato Selectivo	Vivienda	Fuerza Pública	Ejército Nacional			Justicia y Paz Vol. 1 Nº 2, pág. 52																	
9	6	1988	Santander		Vía a Piedecuesta	Sabotaje	Infraestructura de Comunicaciones	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 68																	
12	6	1988	Arauca	Arauquita		Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 69																	
12	6	1988	Cesar	Pelaya	Sitio Las Flores	Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 69																	
14	6	1988	Antioquia	Cáceres		Sabotaje	Infraestructura Energética	Guerrilla	Guerrilla-ELN	 		Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 69																	
17	6	1988	Cesar	Pailitas		Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-ELN		3	Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 69																	
19	6	1988	Caldas	Supía		Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-EPL			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 69																	
