Día	Mes	Año	Departamento	Municipio	Lugar de Ocurrencia	Tipo de Hecho	Tipo de Implicado (2)	Nº Víctimas	Combatiente	Población Civil	Fuente																									
27	12	1990	César	San Diego	Corregimiento Media Luna	Incursión	Guerrilla-CGSB	8	5	3	Justicia y Paz. Boletín informativo Octubre-Diciembre 1990. Volumen 3, N°. 4. Pp. 70																									
30	12	1990	Boyacá	Campo Hermoso		Incursión	Guerrilla-FARC	4		4	Justicia y Paz. Boletín informativo Octubre-Diciembre 1990. Volumen 3, N°. 4. Pp. 71																									
1	1	1991	Bolívar	San Pablo		Incursión	Guerrilla-ELN	1		1	Boletín Informativo Justicia y Paz. Volumen 4, No 1 Pág. 23																									
1	1	1991	Santander 	Cerrito	Cabecera Municipal	Incursión	Guerrilla-ELN	2	1	1	Boletín Informativo Justicia y Paz. Volumen 4, No 1 Pág. 23																									
1	1	1991	Sucre	Guaranda	Cabecera Municipal	Incursión	Guerrilla-ELN	1		1	Boletín Informativo Justicia y Paz. Volumen 4, No 1 Pág. 22																									
6	3	1991	Boyacá	Pauna		Hostigamiento	Grupo Armado No Identificado	1		1	Boletín Informativo Justicia y Paz. Volumen 4, No 1 Pág. 107																									
17	3	1991	Valle del Cauca	Candelaria	Cabecera Municipal	Incursión	Guerrilla-FARC	7	6	1	Boletin Justicia y Paz Vol. 4 No 1. Pp. 24																									
25	3	1991	Valle del Cauca	Dagua	IP El Queremal	Ataque a Objetivo Militar	Guerrilla-FARC	1		1	Boletín Informativo Justicia y Paz. Volumen 4, No 1 Pág. 111																									
30	3	1991	Antioquia	Guadalupe	Cabecera Municipal	Incursión	Guerrilla-FARC	3		3	Boletín Informativo Justicia y Paz. Volumen 4, No 1 Pág. 112																									
24	4	1991	César	San Martín 	Zona Rural	Combate	Ejército Nacional-ELN	1		1	Boletín Informativo Justicia y Paz. Volumen 4, No 2 Pág. 34																									
7	5	1991	Norte de Santander	El Zulia	Zona Rural	Emboscada	Guerrilla-FARC	1		1	Boletín Informativo Justicia y Paz. Volumen 4, No 2 Pág. 68																									
13	5	1991	Casanare 	Tamara	Cabecera Municipal	Incursión	Guerrilla-CGSB	3	2	1	Boletín Informativo Justicia y Paz. Volumen 4, No 2 Pág. 69																									
22	5	1991	Santander 	Barrancabermeja	Cabecera Municipal	Bombardeo	Ejército Nacional	1		1	Boletín Informativo Justicia y Paz. Volumen 4, No 2 Pág. 71																									
24	5	1991	Norte de Santander	Sardinata	IP Las Mercedes - Sitio Filo Real	Emboscada	Guerrilla-CGSB	9	7	2	Boletín Informativo Justicia y Paz. Volumen 4, No 2 Pág. 72																									
27	5	1991	Cundinamarca 	Guataqui		Combate	DAS - FARC	1		1	Boletín Informativo Justicia y Paz. Volumen 4, No 2 Pág. 72																									
30	6	1991	Antioquia	Yarumal	Vereda San Bernardo	Combate	Policía Nacional-FARC	6	5	1	Boletín Informativo Justicia y Paz. Volumen 4, No 2 Pág. 100																									
7	7	1991	Boyacá	Pajarito	Sitio Curisí	Combate	Guerrilla-CGSB	2	1	1	Boletín Informativo Justicia y Paz. Volumen 4, No 3 Pág. 28																									
8	7	1991	Antioquia	Uramita	Cabecera Municipal	Incursión	Guerrilla-FARC	2	1	1	Boletin Justicia y Paz Vol. 4 No 1. Pp. 40																									
10	7	1991	Bolívar	San Martín de Loba	Cabecera Municipal	Incursión	Guerrilla-CGSB	5	4	1	Boletín Informativo Justicia y Paz Vol. 4 No 3 Pp. 41																									
11	7	1991	Meta	La Uribe	Vereda Nariño	Bombardeo	Ejército Nacional	1		1	Boletín Informativo Justicia y Paz. Volumen 4, No 3 Pág. 29																									
6	8	1991	Antioquia	Amalfí		Incursión	Guerrilla-CGSB	4	2	2	Boletín Informativo Justicia y Paz. Volumen 4, No 3 Pág. 63																									
15	8	1991	Bolívar	Santa Rosa del Sur	Cabecera Municipal	Incursión	Guerrilla-CGSB	18	15	3	Boletín Informativo Justicia y Paz Vol. 4  No 3 Pp. 65																									
10	9	1991	Bolívar	San Pablo		Incursión	Guerrilla-CGSB	2	1	1	Boletín Informativo Justicia y Paz. Volumen 4, No 3 Pág. 97																									
14	10	1991	Huila	Acevedo	IP San Adolfo	Incursión	Policía Nacional-Guerrilla no Identificada	1		1	Boletín Informativo Justicia y Paz. Volumen 4, No 4 Pág. 38																									
24	10	1991	Casanare 	Tamara	Cabecera Municipal	Incursión	Guerrilla-CGSB	4	3	1	Boletín Informativo Justicia y Paz. Volumen 4, No 4 Pág. 39																									
31	10	1991	Meta	Vistahermosa	Sitio Maracaibo	Combate	Ejército Nacional-CGSB	3	2	1	Boletín Informativo Justicia y Paz. Volumen 4, No 4 Pág. 40																									
2	11	1991	Antioquia	Remedios	Vía Puerto Berrío	Emboscada	Guerrilla-ELN	1		1	Boletín Informativo Justicia y Paz. Volumen 4, No 4 Pág. 68																									
